sweep_descriptor,base_row_id,sample_id,guidance_scale,requested_raw,requested_cond,sample_index,generated_std,generated_min,generated_max,generated_height_mean,generated_height_std,generated_rq,generated_ra,generated_peak_to_valley,generated_p01,generated_p05,generated_p50,generated_p95,generated_p99,generated_robust_range,generated_skewness,generated_kurtosis,generated_mean_abs_gradient,generated_gradient_std,generated_gradient_orientation_entropy,generated_gradient_anisotropy,generated_psd_low_power,generated_psd_mid_power,generated_psd_high_power,generated_psd_slope,generated_autocorrelation_length_px,generated_island_coverage,generated_island_count,generated_island_mean_area_px,generated_height_min,generated_height_max,generated_slope_p50,generated_slope_p95,generated_slope_p99,generated_psd_peak_frequency,generated_island_mean_height
rq,afmv2_06e9a8457ab9,6058,0.0,10.16842508,2,6,0.6335399151,-0.9989335537,0.9998708963,0.06781956975,0.6335399402,0.6335399402,0.5570263489,1.99880445,-0.9792857528,-0.9108892798,0.08102602512,0.9732788414,0.9959358066,1.975221559,-0.07858501444,1.66162835,0.156301079,0.1222370806,0.9988282663,0.0666027932,9.064798273,3.909138534,1.196574661,-4.07313047,8,0.25,26,157.5384615,-0.9989335537,0.9998708963,0.1331624147,0.3906834576,0.5438959979,0.01104854346,0.8706722532
rq,afmv2_06e9a8457ab9,6058,0.0,10.16842508,2,7,0.6317703724,-0.998667419,0.9977618456,0.03123861848,0.6317703832,0.6317703832,0.5513753539,1.996429265,-0.9915231287,-0.9549990773,0.07417931408,0.9407314211,0.9847606343,1.976283763,-0.1233373927,1.701347657,0.1543201655,0.1188790616,0.9973398613,0.1515684636,9.070481982,3.929386854,1.201446154,-4.058689137,7,0.25,34,120.4705882,-0.998667419,0.9977618456,0.1317007626,0.3786878391,0.5435926013,0.01746928107,0.8227280784
rq,afmv2_84343ccdd8fc,6058,0.0,-1.799924374,-2,0,0.6465393901,-0.9959214926,0.9991963506,0.1088534057,0.6465394214,0.6465394214,0.5723252683,1.995117843,-0.9736024553,-0.9219982207,0.1719240248,0.9652448058,0.9946610677,1.968263523,-0.2061993159,1.648631616,0.1572435262,0.1253970969,0.998104211,0.06635494379,9.055244916,3.868873795,1.135458791,-4.111418685,7,0.25,28,146.2857143,-0.9959214926,0.9991963506,0.1291834123,0.4051046159,0.5276054257,0.015625,0.8882461149
rq,afmv2_84343ccdd8fc,6058,0.0,-1.799924374,-2,1,0.6423202753,-0.9951890111,0.9995154142,0.06883761995,0.6423202815,0.6423202815,0.571307166,1.994704425,-0.9703674245,-0.8974936366,0.08934756368,0.9763978779,0.9957891369,1.966156561,-0.06251479537,1.607726423,0.1560476114,0.130438139,0.9973057152,0.101099438,9.105907201,3.885957709,1.242367327,-4.06436479,7,0.25,27,151.7037037,-0.9951890111,0.9995154142,0.1246828156,0.4087157008,0.581920187,0.0078125,0.8811420003
rq,afmv2_84343ccdd8fc,6058,0.0,-1.799924374,-2,2,0.6338159442,-0.9984369874,0.9999390244,0.1138344692,0.6338159514,0.6338159514,0.5597757975,1.998376012,-0.9792429972,-0.909542647,0.1642478481,0.9691680253,0.9956816041,1.974924601,-0.1792392143,1.668841148,0.1677670273,0.1322150321,0.9981362677,0.1272579276,9.151068021,3.951795255,1.292826432,-4.00634129,6,0.25,30,136.5333333,-0.9984369874,0.9999390244,0.1417493607,0.4242058658,0.5825615754,0.01746928107,0.888966991
rq,afmv2_84343ccdd8fc,6058,0.0,-1.799924374,-2,3,0.6364944577,-0.9957267642,0.9990221858,-0.01950200593,0.6364944721,0.6364944721,0.5598260489,1.99474895,-0.9747678435,-0.9281416476,-0.05345372111,0.9554270208,0.9926699799,1.967437823,0.09574423671,1.656058351,0.1577173389,0.1251458701,0.9967941492,0.1383824616,9.076864475,3.95877472,1.220132019,-4.051460005,7,0.25,24,170.6666667,-0.9957267642,0.9990221858,0.129469458,0.4077354213,0.5437365912,0.0078125,0.8282100091
rq,afmv2_84343ccdd8fc,6058,0.0,-1.799924374,-2,4,0.639634788,-0.996535182,0.9983410835,0.07460031073,0.639634757,0.639634757,0.567209044,1.994876266,-0.9767110682,-0.9173792034,0.09748421609,0.9625693053,0.9925876015,1.96929867,-0.1029225196,1.624261058,0.162380776,0.1251545465,0.9987544347,0.02505400136,9.045915059,3.767434535,1.15008052,-4.103989042,7,0.25,30,136.5333333,-0.996535182,0.9983410835,0.1370543054,0.4068725906,0.5213382854,0.01746928107,0.8732030739
rq,afmv2_84343ccdd8fc,6058,0.0,-1.799924374,-2,5,0.635671556,-0.9970607758,0.9997013807,0.0354855977,0.6356716074,0.6356716074,0.5598543195,1.996762156,-0.985885486,-0.9353356302,0.03959117271,0.9609434217,0.9939371854,1.979822671,-0.02844968145,1.653148342,0.1690783428,0.1298609085,0.9990027185,0.07158200051,9.161236353,3.97448725,1.240554498,-4.027369662,6,0.25,35,117.0285714,-0.9970607758,0.9997013807,0.1421771689,0.4178286013,0.5651360274,0.015625,0.8533107604
rq,afmv2_84343ccdd8fc,6058,0.0,-1.799924374,-2,6,0.6338355541,-0.9980467558,0.9997043014,0.1177384169,0.633835566,0.633835566,0.5571474905,1.997751057,-0.9761096323,-0.910677883,0.1796191558,0.9683230489,0.9956816727,1.971791305,-0.2112923064,1.694382541,0.1670555213,0.1295239783,0.9969501659,0.1667676499,9.139226714,3.958236056,1.182611941,-4.087665834,7,0.25,32,128,-0.9980467558,0.9997043014,0.1406689849,0.4207906677,0.5611642209,0.015625,0.8869820229
rq,afmv2_84343ccdd8fc,6058,0.0,-1.799924374,-2,7,0.6377974153,-0.9961189032,0.9995660782,0.03129437487,0.6377974391,0.6377974391,0.5621346986,1.995684981,-0.9779221231,-0.9255687863,0.04762890376,0.9535486221,0.9925679517,1.970490075,-0.04992165247,1.633535598,0.1700004175,0.13453988,0.998847976,0.05527375231,9.187364356,3.981799897,1.194041797,-4.102948777,6,0.25,37,110.7027027,-0.9961189032,0.9995660782,0.1401858955,0.4259785326,0.5892182081,0.01746928107,0.8425061075
